Narration,"生徒たちは期末試験を受け終えました。トシキは中学校の養護教諭の田中先生の部屋へやって来ます。","The students have finished taking their final exams. Toshiki comes to the room of the middle school’s yogo teacher."
Toshiki,"田中先生！ ついに期末試験が終わりました！","Mrs. Tanaka! The finals are finally over!"
Mrs. Tanaka,"うれしそうね、トシキ。試験はどうだった？","You look happy, Toshiki. How did you do on your exams?"
Toshiki,"ベストを尽くしました。本当に一生懸命勉強しました。今週は毎日、数時間しか寝ませんでした。","I did my best. I studied really hard. I only slept for a few hours each day this week."
Mrs. Tanaka,"まあ。","Oh."
Toshiki,"友達のレイと、どちらがより良い成績を取るか競争しているんです。","My friend Rei and I are competing to see who gets better grades."
Mrs. Tanaka,"そうなの。結果を教えてね！","I see. Let me know the results!"
Narration,"数日後、トシキとレイは田中先生を訪ねます。","A few days later, Toshiki and Rei visit Mrs. Tanaka."
Toshiki,"失礼します、田中先生。入ってもよろしいですか？","Excuse me, Mrs. Tanaka. May we come in?"
Mrs. Tanaka,"もちろんよ、トシキ。あら、レイも一緒なのね。どうぞ入って。","Of course, Toshiki. Oh, Rei is with you. Come on inside."
Toshiki,"田中先生。レイに負けました。ショックです。","Mrs. Tanaka. I lost to Rei. I’m in shock."
Rei,"ただの成績のことじゃない、トシキ。","It’s only grades, Toshiki."
Toshiki,"でも、夜遅くまで本当に一生懸命勉強したんだ。歴史の試験はたったの73点で、レイは94点だった！ どうしてこんなことになったんだ？","But I studied really hard until late at night. I only got 73 points on the history exam and Rei got 94 points! How could this happen?"
Mrs. Tanaka,"トシキ、何時まで起きていたの？","Toshiki, how late did you stay up?"
Toshiki,"毎日、少なくとも夜中の12時まで勉強していました。すべてを覚えるために本当に一生懸命やりました。","I studied every day until at least midnight. I worked really hard to memorize everything."
Rei,"そんなに遅くまで起きていたの？","You stayed up that late?"
Mrs. Tanaka,"望んでいた成績が取れなかったのは残念だったわね。でも、なぜレイの成績のほうがあなたより良かったのかは説明できるわ。","I’m sorry to hear you didn’t get the grades you hoped for. But I can tell you why Rei’s grades were better than yours."
Toshiki,"本当ですか？ 教えてください。","Really? Please tell me."
Rei,"私も知りたいです。","I want to know, too."
Mrs. Tanaka,"それは、あなたが十分な時間眠らなかったからよ。","It’s because you didn’t sleep long enough."
Toshiki,"睡眠不足？ それが答えなんですか？","Not enough sleep? That’s the answer?"
Mrs. Tanaka,"そうよ。眠っている間に、脳は日中に学んだことを整理するの。よく眠れば、忘れにくくなるのよ。","Yes. While you sleep, the brain organizes what you learned during the day. By sleeping well, you don’t forget."
Toshiki,"じゃあ、眠らなければ、覚えていられないんですか？","So, if I don’t sleep, I won’t remember?"
Mrs. Tanaka,"それほどよく覚えてはいられないわ。","You won’t remember as well."
Rei,"脳がそんなふうに働いているなんて知りませんでした。","I didn’t know our brains worked like that."
Toshiki,"だから歴史のテストの年号や人の名前を全部覚えられなかったんだ。","That’s why I couldn’t remember all those years and the names of people for the history test."
Rei,"田中先生、睡眠時間が短くても、深く眠れれば大丈夫だと聞きました。それは本当ですか？","Mrs. Tanaka, I heard that short sleep is good as long as it’s deep. Is that true?"
Mrs. Tanaka,"それは違うわ。一定の時間、眠る必要があるの。物事を覚えるためだけではないのよ。","That’s not true. You need to sleep a certain amount of time. It’s not only for remembering things."
Rei,"ほかには、何に良いのですか？","What else is it good for?"
Mrs. Tanaka,"例えば、眠っているときには、体を成長させるホルモンが分泌されるの。睡眠は筋肉や皮膚など、体のさまざまなものも修復するのよ。","For example, when you are sleeping, hormones that make you grow are released. Sleeping also repairs the body’s muscles, skin, and other things too."
Rei,"わあ。睡眠がそんなに大切だとは知りませんでした。","Wow. I didn’t know sleep was that important."
Toshiki,"ところで、レイは早く寝るって言っていたよね。","By the way, Rei, you said that you go to sleep early."
Rei,"うん。いつも10時までにはベッドに入っているよ。","Uh-huh. I’m always in bed by ten o’clock."
Toshiki,"だからいつもそんなに元気いっぱいなんだね。でも、十分な時間眠れば、何時に寝るかは関係ないんですよね、田中先生？","That’s why you are always so full of energy. But if I sleep enough hours, it doesn’t matter what time I go to bed, does it, Mrs. Tanaka?"
Mrs. Tanaka,"関係あるわ。たった一日でも睡眠のリズムが変わると、脳は時差ぼけをしたように感じるの。最高の状態ではいられなくなるわ。脳は毎日同じ時刻に起きて、同じ時刻に眠る必要があるのよ。","It matters. If your sleep rhythm changes even for a day, your brain will feel like it has jet lag. You will not be at your best. Your brain needs to wake up and go to sleep at the same time every day."
Toshiki,"次はレイより良い成績を取れるように、これからは9時に寝ることにします！","I’m going to start going to bed at nine o’clock so I can get better grades than Rei next time!"
