1,Crew Member,皆さん！船が出る前にレインポンチョを着てください。,"Everyone! Please put on your rain ponchos before the boat leaves."
2,Bachika,すみません。この船はどこへ行くのですか？ それに、あの音は何ですか？ 雷のように聞こえます。,"Excuse me. Where is this boat going? And what's that noise? It sounds like thunder."
3,Crew Member,え？すみません。今ちょっと忙しいんです。ご質問にはあとでお答えできます。,"Huh? Sorry. I'm kind of busy right now. I can answer your questions later."
4,Bachika,あっ……わかりました。,"Uh... okay."
5,Crew Member,全員乗りましたか？ それでは行きましょう！,"All aboard? Let's go!"
6,Bachika,イチカ、いる？ ぎゅうぎゅうの船に乗っているの……人が多すぎて何も見えないよ。なんだか不安になる。今どこにいるのか教えてくれる？,"Ichika, are you there? I'm on a crowded boat... there are too many people and I can't see anything. It's making me nervous. Can you tell me where I am?"
7,Ichika,すごく楽しい場所らしいよ！ まずは落ち着いて、楽しんで！,"I heard it's an exciting place! Just relax and have fun!"
8,Bachika,わかった……わあ！ すごい滝だ。うるさいのも当然だね。,"Okay... whoa! A huge waterfall. No wonder it's so noisy."
9,Crew Member,ナイアガラの滝へようこそ。今、私たちはカナダとアメリカの国境にいます。ここには3つの滝があります。左側にある大きいほうはアメリカ滝と呼ばれています。小さいほうはブライダルベール滝です。,"Welcome to Niagara Falls. Right now we are on the border of Canada and the United States. There are three waterfalls here. The big one on your left is called the American Falls. The small one is called the Bridal Veil Falls."
10,Bachika,わあ！ これはワクワクする！ イチカが言っていた通りだ。,"Wow! This is exciting! Just like Ichika said."
11,Crew Member,あとでカナダ側の滝の近くまで行きます。そっちのほうがずっと大きいんです！,"Later, we'll get close to the waterfall on the Canadian side. It's much bigger!"
12,Bachika,あれより大きいの？,"Bigger than that one?"
13,Crew Member,そのとおりです。なぜこのポンチョを着ているのか、すぐにわかりますよ。,"That's right. You'll soon understand why we're wearing these ponchos."
14,Bachika,ああ、すごくたくさんの水が落ちてきている。あの水はいったいどこから来るの？,"Ah, there's so much water coming down. Where does it all come from?"
15,Crew Member,五大湖をご存じですか？ それは5つあります。,"Do you know the Great Lakes? There are five of them."
16,Bachika,宇宙船から一度見たことがあると思う！,"I think I saw them once from my spaceship!"
17,Crew Member,え？ とにかく、私たちは2つの五大湖をつないでいる川の上にいます。ナイアガラの滝はその川の一部なんです。,"Huh? Anyway, we're on a river that connects two of the Great Lakes. Niagara Falls is part of this river."
18,Bachika,ああ、水は大きな湖から来ているんだ。,"Ah, so the water comes from a big lake."
19,Crew Member,では、もう一つの滝に近づいています。高さは約60メートルです。,"Okay. We are getting close to the other waterfall. It's nearly 60 meters tall."
20,Bachika,わあ！ すごく大きくて力強い！ 水が速く、勢いよく落ちてくる。ああ、びしょ濡れだ！,"Whoa! It's so big and powerful! The water is coming down fast and hard. Ahhh, I'm all wet!"
21,Crew Member,（笑）最高潮のときには、毎秒およそ50メートルプール1杯分と同じくらいの水がナイアガラの滝を流れ落ちています。,"(laughs) At its peak, about the same amount of water as a 50-meter swimming pool goes over Niagara Falls every second."
22,Bachika,信じられない！ うーん、滝が自分の周り全部にあるみたい。,"Unbelievable! Hmm, I feel like the waterfall is all around me!"
23,Crew Member,はい、アルファベットの「U」の形をしています。だから「ホースシュー・フォールズ」と呼ばれているんです。以前は、この滝はほぼ一直線でした。でも、長い長い年月にわたって落ちる水が滝の後ろの岩を削り取り、この形になったのです。,"Yeah, it has the shape of the letter ""U."" That's why it's called the ""Horseshoe Falls."" Before, this waterfall was close to a straight line. But years and years of falling water cut away the rocks behind the waterfall and made it into this shape."
24,Bachika,ああ、水は大きな湖から来ているんだ。,"Ah, so the water comes from a big lake."
25,Crew Member,では、もう一つの滝に近づいています。高さは約60メートルです。,"Okay. We are getting close to the other waterfall. It's nearly 60 meters tall."
26,Bachika,わあ！ すごく大きくて力強い！ 水が速く、勢いよく落ちてくる。ああ、びしょ濡れだ！,"Whoa! It's so big and powerful! The water is coming down fast and hard. Ahhh, I'm all wet!"
27,Crew Member,（笑）最高潮のときには、毎秒およそ50メートルプール1杯分と同じくらいの水がナイアガラの滝を流れ落ちています。,"(laughs) At its peak, about the same amount of water as a 50-meter swimming pool goes over Niagara Falls every second."
28,Crew Member,皆さん！船が出る前にレインポンチョを着てください。,"Everyone! Please put on your rain ponchos before the boat leaves."
29,Bachika,すみません。この船はどこへ行くのですか？ それに、あの音は何ですか？ 雷のように聞こえます。,"Excuse me. Where is this boat going? And what's that noise? It sounds like thunder."
30,Crew Member,え？すみません。今ちょっと忙しいんです。ご質問にはあとでお答えできます。,"Huh? Sorry. I'm kind of busy right now. I can answer your questions later."
31,Bachika,あっ……わかりました。,"Uh... okay."
32,Crew Member,全員乗りましたか？ それでは行きましょう！,"All aboard? Let's go!"
33,Bachika,イチカ、いる？ ぎゅうぎゅうの船に乗っているの……人が多すぎて何も見えないよ。なんだか不安になる。今どこにいるのか教えてくれる？,"Ichika, are you there? I'm on a crowded boat... there are too many people and I can't see anything. It's making me nervous. Can you tell me where I am?"
34,Ichika,すごく楽しい場所らしいよ！ まずは落ち着いて、楽しんで！,"I heard it's an exciting place! Just relax and have fun!"
35,Bachika,わかった……わあ！ すごい滝だ。うるさいのも当然だね。,"Okay... whoa! A huge waterfall. No wonder it's so noisy."
36,Crew Member,ナイアガラの滝へようこそ。今、私たちはカナダとアメリカの国境にいます。ここには3つの滝があります。左側にある大きいほうはアメリカ滝と呼ばれています。小さいほうはブライダルベール滝です。,"Welcome to Niagara Falls. Right now we are on the border of Canada and the United States. There are three waterfalls here. The big one on your left is called the American Falls. The small one is called the Bridal Veil Falls."
